Country,"Population, total",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),GDP growth (annual %),GDP (current US$),Statistical performance indicators (SPI): Overall score (scale 0-100),"Annual freshwater withdrawals, total (% of internal resources)","Unemployment, total (% of total labor force) (modeled ILO estimate)",People using safely managed sanitation services (% of population),Population growth (annual %),Forest area (% of land area),Proportion of seats held by women in national parliaments (%),"Electricity production from renewable sources, excluding hydroelectric (% of total)","Inflation, consumer prices (annual %)",Access to electricity (% of population),Human Capital Index (HCI) (scale 0-1),"Foreign direct investment, net inflows (% of GDP)",GDP per capita (current US$),"Personal remittances, received (% of GDP)","Life expectancy at birth, total (years)",CO2 emissions (metric tons per capita),Net migration,"Central government debt, total (% of GDP)",Individuals using the Internet (% of population),"Intentional homicides (per 100,000 people)"
Jordan,"11,337,052",0.0,2.6,50.81,78.2,138,17.9,82,0.5,1.1,12,0.7,2.1,100.0,0.6,2.3,"4,482.1",9.7,74,1.9,"-157,392",101.1,86,1
Kazakhstan,"19,900,177",0.0,5.1,261.42,78.2,38,4.8,,1.3,1.3,18,0.2,14.7,100.0,0.6,2.2,"13,136.6",0.2,74,11.3,0,22.4,92,3
Kenya,"55,100,586",36.1,5.4,107.44,66.3,19,5.7,31,2.0,6.3,23,48.3,7.7,76.0,0.5,0.3,"1,949.9",3.9,62,0.4,"-10,000",,29,5
Kiribati,"133,515",1.7,4.3,"279,034,355",43.8,,,25,1.7,1.5,7,,2.1,94.4,0.5,1.1,"2,089.9",5.4,68,0.4,-400,,54,7
"Korea, Dem. People's Rep.","26,160,821",,,,,13,3.0,,0.4,49.9,18,0.0,,54.7,,,,,74,2.0,"-2,000",,0,
"Korea, Rep.","51,712,619",0.2,1.4,1.71,87.8,45,2.6,99,0.1,64.3,19,1.5,3.6,100.0,0.8,1.5,"33,121.4",0.4,83,11.0,"29,998",51.2,97,1
Kosovo,"1,756,374",0.4,3.3,10.44,,,,,-0.7,,,0.0,4.9,,0.6,8.2,"5,943.1",18.2,80,,"-5,000",,89,2
Kuwait,"4,310,108",,-2.2,161.77,69.2,,2.1,100,1.0,0.4,3,0.0,3.6,100.0,0.6,0.4,"37,533.2",0.0,80,21.2,"11,999",,100,0
Kyrgyz Republic,"7,100,800",0.7,6.2,13.99,81.5,16,4.0,93,1.8,7.0,20,0.0,10.8,99.7,0.6,0.5,"1,969.9",18.6,72,1.4,"-9,999",47.1,78,2
Lao PDR,"7,633,779",7.1,3.7,15.84,60.4,4,1.2,61,1.4,71.8,22,,31.2,100.0,0.5,4.1,"2,075.4",1.4,69,2.6,"-9,999",,62,
Latvia,"1,881,750",0.4,-0.3,43.63,88.8,1,6.5,85,0.1,54.9,32,16.6,8.9,100.0,0.7,2.9,"23,184.3",2.8,75,3.6,"-7,630",,91,3
Lebanon,"5,353,930",0.0,-0.2,17.94,58.5,38,11.6,26,-2.5,14.1,6,0.0,221.3,100.0,0.5,2.5,"3,350.3",35.5,74,3.8,"-177,331",,87,2
Lesotho,"2,330,318",32.4,0.9,2.05,57.5,1,16.5,48,1.1,1.1,26,,6.3,50.0,0.4,-0.3,878.0,24.1,53,1.0,"-4,000",3.0,48,38
Liberia,"5,418,377",27.6,4.7,4.33,64.9,0,2.9,,2.2,78.8,11,,23.6,31.8,0.3,24.0,799.5,18.5,61,0.2,"-5,000",20.3,34,3
Libya,"6,888,388",,-1.7,50.49,24.4,817,18.7,24,1.1,0.1,16,0.0,2.4,70.0,,1.3,"7,330.0",0.0,72,6.7,"-2,000",,18,
Liechtenstein,"39,584",,-1.2,7.36,,,,96,0.7,41.9,28,,,100.0,,"-1,303.1","187,267.1",,84,3.7,150,,96,5
Lithuania,"2,871,897",0.3,-0.3,77.84,88.1,2,7.0,95,1.4,35.2,28,31.2,9.1,100.0,0.7,1.0,"27,102.8",1.3,76,4.2,"-13,128",36.0,88,3
Luxembourg,"668,606",0.1,-1.1,85.76,87.8,5,5.2,96,2.3,34.5,33,24.9,3.7,100.0,0.7,-394.5,"128,259.4",2.7,83,12.5,"4,883",,98,1
"Macao SAR, China","704,149",,80.5,47.06,,,2.2,68,1.3,,,,1.0,100.0,0.8,12.0,"66,835.1",0.2,85,,"5,000",,88,0
Madagascar,"30,325,732",80.7,4.0,16.03,53.7,4,3.1,12,2.4,21.3,19,,9.9,36.1,0.4,3.1,528.7,2.4,65,0.1,"-1,500",,20,
Malawi,"20,931,751",70.1,1.5,14.08,64.8,8,5.0,46,2.5,23.3,21,,28.8,14.0,0.4,1.9,672.9,1.8,63,0.1,"-6,000",52.6,24,2
Malaysia,"34,308,525",0.0,3.7,399.65,76.6,1,3.9,86,1.1,58.0,14,0.7,2.5,100.0,0.6,3.6,"11,648.7",0.4,76,7.4,"48,997",60.3,97,1
Maldives,"521,021",0.0,4.0,6.6,61.8,16,4.1,,-0.5,2.7,5,,2.3,100.0,,11.7,"12,667.4",0.1,81,2.8,"-8,652",57.3,86,1
Mali,"23,293,698",20.8,5.2,20.9,59.1,9,3.0,16,3.1,10.9,29,,2.1,53.0,0.3,3.8,897.4,5.5,59,0.2,"-39,998",,34,
Malta,"553,214",0.3,5.6,20.96,80.3,82,3.1,88,4.1,1.4,28,7.7,5.1,100.0,0.7,26.3,"37,882.3",1.1,83,3.1,850,,92,0
Marshall Islands,"41,996",0.9,3.2,"284,000,000",35.5,,,,1.0,52.2,12,,,100.0,0.4,1.0,"6,762.5",10.6,65,2.5,0,41.7,39,
Mauritania,"4,862,989",5.4,3.4,10.45,58.9,337,10.5,,2.6,0.3,23,,5.0,49.0,0.4,14.4,"2,149.4",0.6,65,0.9,"3,000",,59,1
Mauritius,"1,261,041",0.1,7.0,14.4,77.3,22,6.1,,-0.1,19.4,20,18.7,7.1,100.0,0.6,2.0,"11,416.9",1.9,74,2.9,0,58.0,68,3
Mexico,"128,455,567",1.2,3.2,1.79,88.6,22,2.8,63,0.7,33.7,50,5.5,5.5,100.0,0.6,2.7,"13,926.1",3.7,75,3.0,"-50,239",44.0,76,28
